CustomerId,CreditScore,Credit_Score_Rating,Geography,Gender,Age_Group,Tenure,Balance,Balance_Group,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Salary_Group,Exited
15634602,619,Fair,France,Female,41-50,2,0,Zero Balance,1,1,1,101348.88,High Salary,1
15647311,608,Fair,Spain,Female,41-50,1,83807.86,Medium Balance,1,0,1,112542.58,High Salary,0
15619304,502,Poor,France,Female,41-50,8,159660.8,Very High Balance,3,1,0,113931.57,High Salary,1
15701354,699,Good,France,Female,31-40,1,0,Zero Balance,2,0,0,93826.63,Medium Salary,0
15737888,850,Excellent,Spain,Female,41-50,2,125510.82,High Balance,1,1,1,79084.1,Medium Salary,0
15574012,645,Fair,Spain,Male,41-50,8,113755.78,High Balance,2,1,0,149756.71,High Salary,1
15592531,822,Excellent,France,Male,41-50,7,0,Zero Balance,2,1,1,10062.8,Low Salary,0
15656148,376,Poor,Germany,Female,21-30,4,115046.74,High Balance,4,1,0,119346.88,High Salary,1
15792365,501,Poor,France,Male,41-50,4,142051.07,High Balance,2,0,1,74940.5,Medium Salary,0
15592389,684,Good,France,Male,21-30,2,134603.88,High Balance,1,1,1,71725.73,Medium Salary,0
15767821,528,Poor,France,Male,31-40,6,102016.72,High Balance,2,0,0,80181.12,Medium Salary,0
15737173,497,Poor,Spain,Male,21-30,3,0,Zero Balance,2,1,0,76390.01,Medium Salary,0
15632264,476,Poor,France,Female,31-40,10,0,Zero Balance,2,1,0,26260.98,Low Salary,0
15691483,549,Poor,France,Female,21-30,5,0,Zero Balance,2,0,0,190857.79,Very High salary,0
15600882,635,Fair,Spain,Female,31-40,7,0,Zero Balance,2,1,1,65951.65,Medium Salary,0
15643966,616,Fair,Germany,Male,41-50,3,143129.41,High Balance,2,0,1,64327.26,Medium Salary,0
15737452,653,Fair,Germany,Male,51-60,1,132602.88,High Balance,1,1,0,5097.67,Low Salary,1
15788218,549,Poor,Spain,Female,21-30,9,0,Zero Balance,2,1,1,14406.41,Low Salary,0
15661507,587,Fair,Spain,Male,41-50,6,0,Zero Balance,1,0,0,158684.81,Very High salary,0
15568982,726,Good,France,Female,21-30,6,0,Zero Balance,2,1,1,54724.03,Medium Salary,0
15577657,732,Good,France,Male,41-50,8,0,Zero Balance,2,1,1,170886.17,Very High salary,0
15597945,636,Fair,Spain,Female,31-40,8,0,Zero Balance,2,1,0,138555.46,High Salary,0
15699309,510,Poor,Spain,Female,31-40,4,0,Zero Balance,1,1,0,118913.53,High Salary,1
15725737,669,Fair,France,Male,41-50,3,0,Zero Balance,2,0,1,8487.75,Low Salary,0
